{'loss': 13.3247, 'grad_norm': 274.79765799244865, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 6.8611, 'grad_norm': 1.946914141963594, 'learning_rate': 0.000886711374827494, 'epoch': 0.24}
{'loss': 6.8196, 'grad_norm': 1.9257573231807563, 'learning_rate': 0.0008800340322708292, 'epoch': 0.25}
{'loss': 6.7924, 'grad_norm': 1.8715754344519386, 'learning_rate': 0.0008731921947243468, 'epoch': 0.26}
{'loss': 6.7205, 'grad_norm': 1.9027514589617507, 'learning_rate': 0.0008661888236280813, 'epoch': 0.26}
{'loss': 6.5638, 'grad_norm': 1.7009488386515181, 'learning_rate': 0.0008590269503406985, 'epoch': 0.27}
{'loss': 6.6914, 'grad_norm': 1.752272631914034, 'learning_rate': 0.0008517096748273951, 'epoch': 0.28}
{'loss': 6.6282, 'grad_norm': 1.6400902641235713, 'learning_rate': 0.0008442401643181, 'epoch': 0.28}
{'loss': 6.606, 'grad_norm': 1.6288405669836403, 'learning_rate': 0.0008366216519365621, 'epoch': 0.29}
{'loss': 6.4937, 'grad_norm': 1.521585148694056, 'learning_rate': 0.0008288574353009164, 'epoch': 0.29}
{'loss': 6.5981, 'grad_norm': 1.4840680993478215, 'learning_rate': 0.0008209508750963328, 'epoch': 0.3}
{'loss': 6.6313, 'grad_norm': 1.4619769812145655, 'learning_rate': 0.0008129053936203688, 'epoch': 0.31}
{'loss': 6.5591, 'grad_norm': 1.44674401960222, 'learning_rate': 0.0008047244733016521, 'epoch': 0.31}
{'loss': 6.6904, 'grad_norm': 1.3623998629016818, 'learning_rate': 0.0007964116551925364, 'epoch': 0.32}
{'loss': 6.5132, 'grad_norm': 1.3380131059379214, 'learning_rate': 0.0007879705374363831, 'epoch': 0.33}
{'loss': 6.4243, 'grad_norm': 1.3344576709082498, 'learning_rate': 0.0007794047737101297, 'epoch': 0.33}
{'loss': 6.4861, 'grad_norm': 1.2841584494982148, 'learning_rate': 0.0007707180716428237, 'epoch': 0.34}
{'loss': 6.3134, 'grad_norm': 1.2745682563369738, 'learning_rate': 0.0007619141912108007, 'epoch': 0.35}
{'loss': 6.3285, 'grad_norm': 1.2719415657326627, 'learning_rate': 0.0007529969431102063, 'epoch': 0.35}
{'loss': 6.3201, 'grad_norm': 1.2063536243822626, 'learning_rate': 0.0007439701871075642, 'epoch': 0.36}
{'loss': 6.4868, 'grad_norm': 1.1657240824024777, 'learning_rate': 0.000734837830369103, 'epoch': 0.36}
{'loss': 6.3477, 'grad_norm': 1.1832563532437084, 'learning_rate': 0.0007256038257695687, 'epoch': 0.37}
{'loss': 6.3129, 'grad_norm': 1.1677501070365042, 'learning_rate': 0.0007162721701812506, 'epoch': 0.38}
{'loss': 6.4896, 'grad_norm': 1.2457709949909557, 'learning_rate': 0.0007068469027439641, 'epoch': 0.38}
{'loss': 6.3727, 'grad_norm': 1.1378282702608244, 'learning_rate': 0.0006973321031167382, 'epoch': 0.39}
{'loss': 6.2786, 'grad_norm': 1.0950938751561508, 'learning_rate': 0.0006877318897119651, 'epoch': 0.4}
{'loss': 6.1874, 'grad_norm': 1.066194820317176, 'learning_rate': 0.0006780504179127734, 'epoch': 0.4}
{'loss': 6.2169, 'grad_norm': 1.015025762159081, 'learning_rate': 0.0006682918782744032, 'epoch': 0.41}
{'loss': 6.2834, 'grad_norm': 1.046886748436303, 'learning_rate': 0.0006584604947103514, 'epoch': 0.42}
{'loss': 6.1738, 'grad_norm': 0.9703471405954925, 'learning_rate': 0.0006485605226640837, 'epoch': 0.42}
{'loss': 6.3813, 'grad_norm': 1.0756150256063441, 'learning_rate': 0.0006385962472670953, 'epoch': 0.43}
{'loss': 6.3408, 'grad_norm': 1.0073410500596307, 'learning_rate': 0.000628571981484123, 'epoch': 0.44}
{'loss': 6.1543, 'grad_norm': 0.9672806099710086, 'learning_rate': 0.0006184920642463094, 'epoch': 0.44}
{'loss': 6.1685, 'grad_norm': 0.9491155863301582, 'learning_rate': 0.0006083608585731282, 'epoch': 0.45}
{'loss': 6.2896, 'grad_norm': 1.020788690694101, 'learning_rate': 0.0005981827496838822, 'epoch': 0.45}
{'loss': 6.0531, 'grad_norm': 0.9173075437567809, 'learning_rate': 0.0005879621430995928, 'epoch': 0.46}
{'loss': 6.1104, 'grad_norm': 0.9346244293892392, 'learning_rate': 0.0005777034627361025, 'epoch': 0.47}
{'loss': 6.3159, 'grad_norm': 0.9764179459664736, 'learning_rate': 0.0005674111489892144, 'epoch': 0.47}
{'loss': 6.1084, 'grad_norm': 0.9118270485739178, 'learning_rate': 0.0005570896568126993, 'epoch': 0.48}
{'loss': 6.0969, 'grad_norm': 0.8904093492611471, 'learning_rate': 0.00054674345379, 'epoch': 0.49}
{'loss': 6.2231, 'grad_norm': 0.9106767940335139, 'learning_rate': 0.000536377018200472, 'epoch': 0.49}
{'loss': 6.0017, 'grad_norm': 0.8895040718426537, 'learning_rate': 0.0005259948370809901, 'epoch': 0.5}
{'loss': 6.23, 'grad_norm': 0.9230511809365086, 'learning_rate': 0.0005156014042837695, 'epoch': 0.51}
{'loss': 6.0436, 'grad_norm': 0.8606939928507132, 'learning_rate': 0.0005052012185312321, 'epoch': 0.51}
{'loss': 6.0659, 'grad_norm': 0.8974483704958306, 'learning_rate': 0.0004947987814687679, 'epoch': 0.52}
{'loss': 6.0994, 'grad_norm': 0.8783147798842145, 'learning_rate': 0.00048439859571623034, 'epoch': 0.52}
{'loss': 6.2146, 'grad_norm': 0.8866967641061887, 'learning_rate': 0.00047400516291900993, 'epoch': 0.53}
{'loss': 6.1749, 'grad_norm': 0.8673334760176641, 'learning_rate': 0.0004636229817995281, 'epoch': 0.54}
{'loss': 6.1204, 'grad_norm': 0.8640468828218396, 'learning_rate': 0.0004532565462099999, 'epoch': 0.54}
{'loss': 6.0882, 'grad_norm': 0.8705695253959916, 'learning_rate': 0.00044291034318730087, 'epoch': 0.55}
{'loss': 6.0515, 'grad_norm': 0.8450947589853008, 'learning_rate': 0.0004325888510107856, 'epoch': 0.56}
{'loss': 6.1005, 'grad_norm': 0.8169944484696877, 'learning_rate': 0.0004222965372638976, 'epoch': 0.56}
{'loss': 6.0547, 'grad_norm': 0.8588250138492506, 'learning_rate': 0.00041203785690040743, 'epoch': 0.57}
{'loss': 6.0649, 'grad_norm': 0.8371953452422528, 'learning_rate': 0.00040181725031611794, 'epoch': 0.58}
{'loss': 6.1382, 'grad_norm': 0.8572090140790919, 'learning_rate': 0.0003916391414268718, 'epoch': 0.58}
{'loss': 5.9756, 'grad_norm': 0.7702431477575846, 'learning_rate': 0.00038150793575369063, 'epoch': 0.59}
{'loss': 6.1284, 'grad_norm': 0.8138677940313896, 'learning_rate': 0.00037142801851587707, 'epoch': 0.6}
{'loss': 6.1704, 'grad_norm': 0.8789066179344281, 'learning_rate': 0.00036140375273290476, 'epoch': 0.6}
{'loss': 6.1492, 'grad_norm': 0.8690697099169089, 'learning_rate': 0.0003514394773359163, 'epoch': 0.61}
{'loss': 6.3064, 'grad_norm': 0.8933865174124493, 'learning_rate': 0.0003415395052896487, 'epoch': 0.61}
{'loss': 6.2583, 'grad_norm': 0.9190766705055621, 'learning_rate': 0.00033170812172559694, 'epoch': 0.62}
{'loss': 5.9756, 'grad_norm': 0.7949175537704982, 'learning_rate': 0.00032194958208722654, 'epoch': 0.63}
{'loss': 6.0264, 'grad_norm': 0.8137445153597281, 'learning_rate': 0.00031226811028803515, 'epoch': 0.63}
{'loss': 6.1335, 'grad_norm': 0.8361489259888061, 'learning_rate': 0.00030266789688326184, 'epoch': 0.64}
{'loss': 6.1587, 'grad_norm': 0.8825063868435945, 'learning_rate': 0.00029315309725603595, 'epoch': 0.65}
{'loss': 6.1333, 'grad_norm': 0.8200493447937667, 'learning_rate': 0.00028372782981874963, 'epoch': 0.65}
{'loss': 6.1221, 'grad_norm': 0.802152495030578, 'learning_rate': 0.00027439617423043145, 'epoch': 0.66}
{'loss': 6.0006, 'grad_norm': 0.7950182183400193, 'learning_rate': 0.00026516216963089694, 'epoch': 0.67}
{'loss': 6.1089, 'grad_norm': 0.8226233506033952, 'learning_rate': 0.0002560298128924358, 'epoch': 0.67}
{'loss': 6.0925, 'grad_norm': 0.8329141702962262, 'learning_rate': 0.0002470030568897938, 'epoch': 0.68}
{'loss': 6.0023, 'grad_norm': 0.7741381536298394, 'learning_rate': 0.00023808580878919945, 'epoch': 0.68}
{'loss': 6.1694, 'grad_norm': 0.8193796126162314, 'learning_rate': 0.00022928192835717644, 'epoch': 0.69}
{'loss': 6.0767, 'grad_norm': 0.998501056972632, 'learning_rate': 0.00022059522628987038, 'epoch': 0.7}
{'loss': 6.0569, 'grad_norm': 0.7563780052757422, 'learning_rate': 0.0002120294625636171, 'epoch': 0.7}
{'loss': 6.0525, 'grad_norm': 0.7779739557912192, 'learning_rate': 0.00020358834480746363, 'epoch': 0.71}
{'loss': 5.9829, 'grad_norm': 0.7590744736566645, 'learning_rate': 0.00019527552669834798, 'epoch': 0.72}
{'loss': 5.9414, 'grad_norm': 0.790964755389917, 'learning_rate': 0.00018709460637963122, 'epoch': 0.72}
{'loss': 6.1084, 'grad_norm': 0.8300727353552143, 'learning_rate': 0.00017904912490366722, 'epoch':0.73}
{'loss': 6.0583, 'grad_norm': 0.8009898376001356, 'learning_rate': 0.0001711425646990838, 'epoch': 0.74}
{'loss': 5.9246, 'grad_norm': 0.7747211613116931, 'learning_rate': 0.00016337834806343782, 'epoch': 0.74}
{'loss': 5.9277, 'grad_norm': 0.8072034101227853, 'learning_rate': 0.0001557598356819, 'epoch': 0.75}
{'loss': 6.1091, 'grad_norm': 0.8114190700939747, 'learning_rate': 0.00014829032517260488, 'epoch': 0.76}
{'loss': 5.9722, 'grad_norm': 0.7662680117713779, 'learning_rate': 0.00014097304965930157, 'epoch': 0.76}
{'loss': 6.0167, 'grad_norm': 0.825981108997375, 'learning_rate': 0.00013381117637191887, 'epoch': 0.77}
{'loss': 5.9613, 'grad_norm': 0.7934956748336955, 'learning_rate': 0.00012680780527565312, 'epoch': 0.77}
{'loss': 5.8896, 'grad_norm': 0.7671462194961516, 'learning_rate': 0.0001199659677291709, 'epoch': 0.78}
{'loss': 6.0745, 'grad_norm': 0.760736536677498, 'learning_rate': 0.00011328862517250609, 'epoch': 0.79}
{'loss': 5.974, 'grad_norm': 0.7417064054500705, 'learning_rate': 0.00010677866784522316, 'epoch': 0.79}
{'loss': 6.1221, 'grad_norm': 0.7647614290436064, 'learning_rate': 0.0001004389135353972, 'epoch': 0.8}
{'loss': 6.1061, 'grad_norm': 0.7964120498460867, 'learning_rate': 9.427210635995481e-05, 'epoch': 0.81}
{'loss': 5.929, 'grad_norm': 0.7344561780203244, 'learning_rate': 8.828091557690287e-05, 'epoch': 0.81}
{'loss': 5.9653, 'grad_norm': 0.7877348918406729, 'learning_rate': 8.246793442995954e-05, 'epoch': 0.82}
{'loss': 6.0389, 'grad_norm': 0.8180598935660033, 'learning_rate': 7.683567902608729e-05, 'epoch': 0.83}
{'loss': 6.0676, 'grad_norm': 0.783914890010839, 'learning_rate': 7.138658724641417e-05, 'epoch': 0.83}
{'loss': 6.1154, 'grad_norm': 0.8454171539605627, 'learning_rate': 6.612301769101465e-05, 'epoch': 0.84}
{'loss': 5.9846, 'grad_norm': 0.7871065608385753, 'learning_rate': 6.104724865800665e-05, 'epoch': 0.84}
{'loss': 5.9385, 'grad_norm': 0.7924557431053013, 'learning_rate': 5.61614771574061e-05, 'epoch': 0.85}
{'loss': 6.1069, 'grad_norm': 0.7476299452219785, 'learning_rate': 5.1467817960167975e-05, 'epoch': 0.86}
{'loss': 5.9449, 'grad_norm': 0.7249783142674877, 'learning_rate': 4.696830268282204e-05, 'epoch': 0.86}
{'loss': 6.0483, 'grad_norm': 0.7939812477981344, 'learning_rate': 4.266487890810256e-05, 'epoch': 0.87}
{'loss': 6.0217, 'grad_norm': 0.7814601174097641, 'learning_rate': 3.8559409341951456e-05, 'epoch': 0.88}
{'loss': 6.0049, 'grad_norm': 0.75210631022833, 'learning_rate': 3.465367100725908e-05, 'epoch': 0.88}
{'loss': 6.051, 'grad_norm': 0.8207315947247086, 'learning_rate': 3.094935447469294e-05, 'epoch': 0.89}
{'loss': 6.0388, 'grad_norm': 0.7813858779263245, 'learning_rate': 2.7448063130946223e-05, 'epoch': 0.9}
{'loss': 5.9873, 'grad_norm': 0.7949833627670231, 'learning_rate': 2.4151312484723464e-05, 'epoch': 0.9}
{'loss': 5.9664, 'grad_norm': 0.7859323773069914, 'learning_rate': 2.1060529510763648e-05, 'epoch': 0.91}
{'loss': 5.9862, 'grad_norm': 0.7690577833417672, 'learning_rate': 1.8177052032184282e-05, 'epoch': 0.92}
{'loss': 6.1223, 'grad_norm': 0.7500479760718313, 'learning_rate': 1.5502128141414497e-05, 'epoch': 0.92}
{'loss': 6.0544, 'grad_norm': 0.7450622805471262, 'learning_rate': 1.3036915659967118e-05, 'epoch': 0.93}
{'loss': 6.0413, 'grad_norm': 0.7703702956556486, 'learning_rate': 1.0782481637284013e-05, 'epoch': 0.93}
{'loss': 5.939, 'grad_norm': 0.7715879647375541, 'learning_rate': 8.739801888871469e-06, 'epoch': 0.94}
{'loss': 5.8521, 'grad_norm': 0.7584307003493879, 'learning_rate': 6.909760573925561e-06, 'epoch': 0.95}
{'loss': 6.0408, 'grad_norm': 0.765669993722487, 'learning_rate': 5.2931498126298495e-06, 'epoch': 0.95}
{'loss': 6.0195, 'grad_norm': 0.7718179724864959, 'learning_rate': 3.890669343292464e-06, 'epoch': 0.96}
{'loss': 6.0298, 'grad_norm': 0.7604880484793223, 'learning_rate': 2.7029262194688818e-06, 'epoch': 0.97}
{'loss': 6.0571, 'grad_norm': 0.7567059919200881, 'learning_rate': 1.7304345472035632e-06, 'epoch': 0.97}
{'loss': 6.0206, 'grad_norm': 0.8225593257036284, 'learning_rate': 9.73615262502503e-07, 'epoch': 0.98}
{'loss': 6.0762, 'grad_norm': 0.7874648527226416, 'learning_rate': 4.3279594913447906e-07, 'epoch': 0.99}
{'loss': 5.9304, 'grad_norm': 0.7616324518756692, 'learning_rate': 1.082106968385288e-07, 'epoch':  0.99}
